"filename", "language", "TypeScript", "JSON with Comments", "vue", "SCSS", "Markdown", "XML", "CSS", "JSON", "JavaScript", "HTML", "Visual Basic", "Objective-C", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\README.md", "Markdown", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 35, 16, 167
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\b64toFile\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 3, 4, 34
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\createProtocol\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 4, 5, 46
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\deleteFolder\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 3, 1, 31
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\darwin\fontlist.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\darwin\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 5, 10, 48
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\demo.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 1, 10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 1, 21
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\linux\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 8, 29
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\win32\fonts.vbs", "Visual Basic", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 8, 30
